id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
112,VA,Buck Mtn.,2010,MD,15g,1.6,1414,1,1,1,1,0.99,0.28,0.07,0,0,0.35
113,VA,Cascade,2010,MD,15g,16.5,727,0.94,1,0.99,0.99,0.97,0.69,0,0.09,0.06,0.31
114,VA,Chilhowie,2010,MD,6g,15.6,623,1,1,1,1,0.98,0,0,0,0,0.23
115,VA,Cluster Springs,2010,MD,6g,0.2,914,1,1,0.98,1,0.88,0,0,0.13,0.01,0.83
116,VA,DAR1,2010,MD,6g,-141.5,62,,,,,,,,,,
117,VA,DAR2,2010,MD,6g,-142.6,61,,,,,,,,,,
118,VA,False Cape,2010,NPV,5x10^12,64.1,2383,0.16,-0.39,0.23,0.51,0.03,4.21,7.02,3.90,2.47,4.88
119,VA,Flat Top Mtn.,2010,MD,6g,11.9,1246,0.90,0.92,1,0.98,0.91,3.62,2.92,0.13,0.66,3.46
120,VA,GR3,2010,MD,6g,-134.1,62,,,,,,,,,,
121,VA,GR4,2010,MD,6g,-132.6,62,,,,,,,,,,
122,VA,GR5,2010,MD,6g,-131.9,62,,,,,,,,,,
123,VA,GR8,2010,MD,6g,-136.9,62,,,,,,,,,,
124,VA,Keen Mountain,2010,MD,6g,27.3,957,0.33,1,1,0.94,0.99,3.47,0,0,0.33,0.03
125,VA,Marion,2010,MD,6g,10.6,1363,1,1,0.99,1,1,0,0,0.35,0.09,0.08
126,VA,PGA1,2010,MD,6g,-154.4,62,,,,,,,,,,
127,VA,Point Lookout Mtn.,2010,MD,6g,-4.1,1109,1,0.99,1,1,1,0.22,0.34,0,0,0.04
128,WI,Ashland10,2010,Btk,24BIUx1,-38.5,193,0.42,0.16,0.64,0.44,,1.16,1.68,0.72,1.13,
129,WI,Ashland11,2010,Btk,24BIUx1,-42,115,0.38,0.56,0.68,0.52,,1.08,0.78,0.55,0.84,
130,WI,Ashland12,2010,Btk,24BIUx1,-39,235,0.47,0.78,0.79,0.46,,1.12,0.47,0.45,1.13,
131,WI,Ashland13,2010,Btk,24BIUx1,-38.3,345,0.29,0.75,0.37,0.29,,1.18,0.42,1.05,1.19,
132,WI,Ashland14,2010,Btk,24BIUx1,-36.5,184,0.30,0.56,-0.02,0.45,,1.19,0.74,1.72,0.93,
133,WI,Ashland15,2010,Btk,24BIUx1,-62.4,105,0.87,-0.06,,,,0.19,1.61,,,
134,WI,Ashland16,2010,Btk,24BIUx1,-36.8,205,0.31,0.52,0.60,0.50,,1.43,1,0.84,1.05,
135,WI,Barron1,2010,Btk,24BIUx2,47,1600,0.99,0.84,0.99,0.96,1,0.20,3.96,0.33,0.95,0.08
136,WI,Bayfield1,2010,MD,6g,-31.1,9508,0.93,0.72,0.83,0.72,,0.22,0.92,0.55,0.94,
137,WI,Bayfield10,2010,Btk,24BIUx1,-3.3,410,0.74,0.57,0.58,0.76,0.41,0.60,1.01,0.99,0.57,1.38
138,WI,Bayfield11,2010,MD,15g,-1.8,3732,0.96,0.98,0.83,0.73,0.71,0.14,0.08,0.68,1.05,1.14
139,WI,Bayfield15,2010,Btk,24BIUx2,-58.7,104,0.36,0.30,,,,0.98,1.07,,,
140,WI,Bayfield16,2010,Btk,24BIUx2,-57.5,101,0.25,0.12,,,,1.29,1.52,,,
141,WI,Bayfield17,2010,Btk,24BIUx2,-57.5,121,0.42,0.40,0.43,0.39,,0.89,0.92,0.87,0.93,
142,WI,Bayfield18,2010,Btk,24BIUx2,-54.5,101,0.43,0.32,,,,1.95,2.32,,,
143,WI,Bayfield19,2010,Btk,24BIUx2,-56.2,103,0.80,0.79,,0.76,,0.66,0.71,,0.79,
144,WI,Bayfield20,2010,Btk,24BIUx1,-61.6,215,0.78,0.74,,,,0.69,0.79,,,
145,WI,Bayfield21,2010,Btk,24BIUx2,-51.2,279,0.51,0.20,0.36,0.49,,0.95,1.55,1.23,0.99,
146,WI,Bayfield22,2010,Btk,24BIUx2,-51.7,111,0.52,0.41,,0.59,,1.10,1.36,,0.95,
147,WI,Bayfield23,2010,Btk,24BIUx1,-50.1,377,0.22,,,,,1.15,,,,
